symbol,snapshot_ts,meta_added_ts,meta_expires_ts,meta_duration_sec,meta_archive_schema_version,spot_mid,spot_spread_bps,spot_range_pct_24h,spot_ticker24_chg,derived_liq_global_pct,derived_spread_bps,score_final,sentiment_posts_total,sentiment_posts_pos,sentiment_posts_neu,sentiment_posts_neg,sentiment_mean_score,sentiment_is_silent
THE,2026-02-07T21:50:11.216Z,2026-02-07T21:50:11.216961Z,2026-02-07T23:50:11.216961Z,7797.801877,7,0.26985000000000003,18.528812303131385,15.33901444979622,10.524,80.06993006993007,18.528812303131385,67.59263732409296,56,22,27,7,0.5893,False
TON,2026-02-07T21:50:18.004Z,2026-02-07T21:50:18.004985Z,2026-02-07T23:50:18.004985Z,7791.013853,7,1.4224999999999999,7.0298769771536875,8.661971830985916,1.719,81.81818181818181,7.0298769771536875,63.61457941493224,26,11,12,3,0.8846,False
VIRTUAL,2026-02-07T21:50:29.702Z,2026-02-07T21:50:29.702234Z,2026-02-07T23:50:29.702234Z,7779.316604,7,0.591,6.7681895093055155,7.63011622031329,0.219,77.27272727272727,6.7681895093055155,70.32337653425806,9,7,2,0,1.0,False
WIF,2026-02-07T21:50:37.321Z,2026-02-07T21:50:37.321526Z,2026-02-07T23:50:37.321526Z,7771.697312,7,0.2335,42.826552462526806,6.837606837606831,0.0,84.96503496503496,42.826552462526806,71.3731928119784,22,11,10,1,0.6818,False
XLM,2026-02-07T21:50:42.981Z,2026-02-07T21:50:42.981457Z,2026-02-07T23:50:42.981457Z,7766.037381,7,0.16185,6.178560395427185,5.99505562422745,-0.492,85.31468531468532,6.178560395427185,54.848826047975216,41,20,20,1,0.7317,False
ZK,2026-02-07T21:50:49.863Z,2026-02-07T21:50:49.863729Z,2026-02-07T23:50:49.863729Z,7759.155109,7,0.021845,4.577706569010329,13.045454545454552,-4.597,74.47552447552448,4.577706569010329,58.87188586149731,14,3,10,1,1.0,False
ZRO,2026-02-07T21:50:57.199Z,2026-02-07T21:50:57.199902Z,2026-02-07T23:50:57.199902Z,7751.818936,7,1.694,11.806375442739089,8.219178082191775,3.963,83.21678321678321,11.806375442739089,69.51976902352806,18,4,13,1,0.7778,False
2Z,2026-02-07T21:56:47.170Z,2026-02-07T21:56:47.171113Z,2026-02-07T23:56:47.171113Z,7401.847725,7,0.09713,6.177288170492187,6.7118226600985125,1.331,60.48951048951049,6.177288170492187,75.9349300238597,5,1,4,0,-0.4,False
ARKM,2026-02-07T21:56:53.507Z,2026-02-07T21:56:53.508001Z,2026-02-07T23:56:53.508001Z,7395.510837,7,0.1265,79.05138339920956,7.086614173228353,0.0,59.44055944055944,79.05138339920956,67.53669716605481,47,10,34,3,0.383,False
BROCCOLI714,2026-02-07T21:57:07.288Z,2026-02-07T21:57:07.288971Z,2026-02-07T23:57:07.288971Z,7381.729867,7,0.01418,14.104372355429609,8.26210826210827,1.813,64.68531468531468,14.104372355429609,77.04451144790472,1,0,1,0,0.0,False
CAKE,2026-02-07T21:57:13.227Z,2026-02-07T21:57:13.227313Z,2026-02-07T23:57:13.227313Z,7375.791525,7,1.3805,7.243752263673392,5.635838150289007,-0.36,65.03496503496504,7.243752263673392,68.27356886856992,13,4,8,1,0.6923,False
EGLD,2026-02-07T21:57:24.687Z,2026-02-07T21:57:24.687330Z,2026-02-07T23:57:24.687330Z,7364.331508,7,4.970000000000001,40.24144869215384,8.613445378151264,6.488,63.98601398601399,40.24144869215384,78.18331376778406,36,10,25,1,0.8056,False
EIGEN,2026-02-07T21:57:34.055Z,2026-02-07T21:57:34.055676Z,2026-02-07T23:57:34.055676Z,7354.963162,7,0.2175,45.97701149425291,7.239819004524893,-0.897,62.93706293706294,45.97701149425291,67.90377686986648,15,5,8,2,0.8667,False
ERA,2026-02-07T21:57:41.523Z,2026-02-07T21:57:41.523620Z,2026-02-07T23:57:41.523620Z,7347.495218,7,0.16075,6.22083981337412,7.381703470031538,3.798,58.39160839160839,6.22083981337412,68.24869041315098,0,0,0,0,,
ETHFI,2026-02-07T21:57:49.364Z,2026-02-07T21:57:49.365010Z,2026-02-07T23:57:49.365010Z,7339.653828,7,0.4695,21.299254526091605,9.090909090909088,-1.663,60.13986013986014,21.299254526091605,65.61844590397355,1,0,1,0,1.0,False
EURI,2026-02-07T21:58:05.110Z,2026-02-07T21:58:05.110347Z,2026-02-07T23:58:05.110347Z,7323.908491,7,1.17885,11.02769648386206,0.49235993208828754,-0.153,62.23776223776224,11.02769648386206,67.47886892717996,0,0,0,0,,
IOTA,2026-02-07T21:58:22.030Z,2026-02-07T21:58:22.030556Z,2026-02-07T23:58:22.030556Z,7306.988282,7,0.07095,14.09443269908231,5.790960451977391,-3.673,66.78321678321679,14.09443269908231,45.230025368436124,10,1,9,0,1.0,False
KITE,2026-02-07T21:58:34.071Z,2026-02-07T21:58:34.071837Z,2026-02-07T23:58:34.071837Z,7294.947001,7,0.14715,20.387359836900764,10.579514824797839,0.135,68.53146853146853,20.387359836900764,69.88812564741522,0,0,0,0,,
LINEA,2026-02-07T21:58:41.551Z,2026-02-07T21:58:41.551929Z,2026-02-07T23:58:41.551929Z,7287.466909,7,0.0033350000000000003,29.985007496251953,9.880239520958083,-3.746,69.58041958041959,29.985007496251953,48.283591689497705,3,0,0,3,0.3333,False
MANTA,2026-02-07T21:58:48.971Z,2026-02-07T21:58:48.971848Z,2026-02-07T23:58:48.971848Z,7280.04699,7,0.0736,27.17391304347904,14.670255720053843,2.766,59.09090909090909,27.17391304347904,70.99051303805545,2,0,0,2,-0.5,False
ALT,2026-02-07T21:59:18.070Z,2026-02-07T21:59:18.070489Z,2026-02-07T23:59:18.070489Z,7250.948349,7,0.008585,11.648223645893527,9.378663540445492,2.771,50.34965034965035,11.648223645893527,61.18912460994963,4,4,0,0,1.0,False
APE,2026-02-07T21:59:27.269Z,2026-02-07T21:59:27.269715Z,2026-02-07T23:59:27.269715Z,7241.749123,7,0.13165,7.595898214965192,6.51021953065859,0.763,53.14685314685315,7.595898214965192,72.85336436396506,44,21,19,4,0.6364,False
AUCTION,2026-02-07T21:59:37.062Z,2026-02-07T21:59:37.062543Z,2026-02-07T23:59:37.062543Z,7231.956295,7,4.785,20.898641588296314,12.083333333333336,-0.826,51.74825174825175,20.898641588296314,63.603295392473385,0,0,0,0,,
CHESS,2026-02-07T22:00:00.633Z,2026-02-07T22:00:00.633901Z,2026-02-08T00:00:00.633901Z,7208.384937,7,0.008445,106.57193605683814,41.734104046242784,-12.626,52.44755244755245,106.57193605683814,28.856706272421956,0,0,0,0,,
COW,2026-02-07T22:00:10.279Z,2026-02-07T22:00:10.280073Z,2026-02-08T00:00:10.280073Z,7800.508114,7,0.1698,35.33568904593577,13.454759106933023,8.546,53.84615384615385,35.33568904593577,66.96810212371804,1,0,0,1,1.0,False
CYBER,2026-02-07T22:00:23.015Z,2026-02-07T22:00:23.015257Z,2026-02-08T00:00:23.015257Z,7787.77293,7,0.525,38.09523809523812,25.51984877126654,-7.03,49.3006993006993,38.09523809523812,56.996188941859636,3,1,2,0,1.0,False
FLOKI,2026-02-07T22:00:35.539Z,2026-02-07T22:00:35.539546Z,2026-02-08T00:00:35.539546Z,7775.248641,7,3.164e-05,6.32111251580165,6.474820143884888,-0.591,47.9020979020979,6.32111251580165,67.4111699784458,22,5,17,0,0.7727,False
GUN,2026-02-07T22:00:48.699Z,2026-02-07T22:00:48.699993Z,2026-02-08T00:00:48.699993Z,7762.088194,7,0.027880000000000002,14.347202295553025,4.656160458452719,-0.782,55.24475524475525,14.347202295553025,66.04485006793125,0,0,0,0,,
HOLO,2026-02-07T22:00:55.989Z,2026-02-07T22:00:55.989628Z,2026-02-08T00:00:55.989628Z,7754.798559,7,0.0616,32.46753246753227,23.870967741935484,-1.587,57.34265734265734,32.46753246753227,52.98568892288348,25,17,8,0,0.8,False
IO,2026-02-07T22:01:11.081Z,2026-02-07T22:01:11.081760Z,2026-02-08T00:01:11.081760Z,7739.706427,7,0.1095,91.3242009132421,7.27272727272728,-0.901,45.80419580419581,91.3242009132421,59.252024887560495,0,0,0,0,,
KAITO,2026-02-07T22:01:23.381Z,2026-02-07T22:01:23.381268Z,2026-02-08T00:01:23.381268Z,7727.406919,7,0.32930000000000004,6.0734892195576515,6.778644271145757,-0.09,50.6993006993007,6.0734892195576515,72.81395154253882,4,2,2,0,0.75,False
MAGIC,2026-02-07T22:01:36.716Z,2026-02-07T22:01:36.717264Z,2026-02-08T00:01:36.717264Z,7714.070923,7,0.07025,71.17437722419737,21.08843537414966,10.86,48.6013986013986,71.17437722419737,72.07403526532319,42,13,26,3,0.6429,False
MMT,2026-02-07T22:01:42.457Z,2026-02-07T22:01:42.457738Z,2026-02-08T00:01:42.457738Z,7708.330449,7,0.13425,7.448789571693778,8.983799705449181,-0.948,55.59440559440559,7.448789571693778,46.81252233837098,0,0,0,0,,
NEIRO,2026-02-07T22:01:50.100Z,2026-02-07T22:01:50.101181Z,2026-02-08T00:01:50.101181Z,7700.687006,7,7.8825e-05,13.954963526799522,8.17071635402241,-1.586,48.95104895104895,13.954963526799522,43.640043487329656,20,16,0,4,0.9,False
ORDI,2026-02-07T22:01:56.821Z,2026-02-07T22:01:56.821526Z,2026-02-08T00:01:56.821526Z,7693.966661,7,2.892,6.915629322267565,7.159986296676947,1.672,52.7972027972028,6.915629322267565,71.428810781997,35,14,20,1,0.7429,False
PARTI,2026-02-07T22:02:04.475Z,2026-02-07T22:02:04.475497Z,2026-02-08T00:02:04.475497Z,7686.31269,7,0.09809999999999999,20.38735983690029,9.227683049147442,6.177,53.49650349650349,20.38735983690029,72.04425386275305,9,6,1,2,0.6667,False
PYTH,2026-02-07T22:02:11.030Z,2026-02-07T22:02:11.030907Z,2026-02-08T00:02:11.030907Z,7679.75728,7,0.04655,21.482277121375482,8.333333333333334,-0.426,54.54545454545455,21.482277121375482,69.4215722380028,4,0,4,0,1.0,False
QNT,2026-02-07T22:02:18.724Z,2026-02-07T22:02:18.724401Z,2026-02-08T00:02:18.724401Z,7672.063786,7,65.38,18.354236769655028,6.0559246099181125,-0.873,49.65034965034965,18.354236769655028,68.7228542961388,47,10,37,0,0.6809,False
